#title:My Music;type:csv
artist,song,links
The Hollies,"He Ain't Heavy, He's My Brother"
The Isley Brothers,Live It Up,
The J.B.'s,Doing It To Death,
The J.B.'s,More Peas,
The Ozark Mountain Daredevils,If You Wanna Get To Heaven,
The Police,Every Little Thing She Does Is Magic,
The Spinners,The Rubberband Man,youtube:KSMVflSBKx8
The Time,Jungle Love,
The Traveling Wilburys,End Of The Line
The Wailin' Jennys,Wildflowers,
The Who,Baba O'Riley,youtube:QRTNm6GLJYI
The Who,Going Mobile,youtube:ToxymSLzJeM
Three Dog Night,Celebrate,
Tina Turner,River Deep Mountain High,
Todd Rundgren,Bang the Drum All Day,
Tom Tom Club,Genius of Love,
Tom Tom Club,Pleasure of Love,
Tommy Guerrero,Soul Food Taqueria,youtube:YSykw8vOJ-Y
Tony Joe White,Polk Salad Annie
Tony Orlando,Knock Three Times,
Toots and the Maytals,54-46 Was My Number,youtube:wNxNwvjzGM0
Tracy Chapman,Fast Car,youtube:AIOAlaACuv4
Traffic,Medicated Goo,
Train,Calling All Angels,
Train,Play That Song,
Uriah Heep,One Nation One Sun,youtube:Wn_0hWc5hOQ
Van Morrison,Blue Money,youtube:dECPWpAlgaU
Van Morrison,Into the Mystic,
Van Morrison,Jackie Wilson Said,youtube:TY0_1VN7h8c
Vashti Bunyan,Just Another Diamond Day
Vivaldi,Four Seasons,youtube:GRxofEmo3HA
WAR,Galaxy,
WAR,Spill The Wine,youtube:MYCRIykylOc
WAR,The Cisco Kid,
WAR,Why Can't We Be Friends?,youtube:sH0Qda32IKM
Waylon Jennings,I've Always Been Crazy
Wilco,What Light,
Wilson Picket,634-5789,youtube:zBEvDyWVgl4
ZZ Top,Waitin For The Bus/Jesus Just Left Chicago,
